"","ic","method","pval","null_l","tmt_l","unknown_param_fl","other_mechanical_param_fl","prescribed_fire_param_fl","wildfire_param_fl","thinning_param_fl","herbicide_param_fl","clearcut_param_fl","wildland_fire_param_fl","mastication_param_fl","unknown_param_or","other_mechanical_param_or","prescribed_fire_param_or","wildfire_param_or","thinning_param_or","herbicide_param_or","clearcut_param_or","wildland_fire_param_or","mastication_param_or","all_converge","valid_subset","failed_converge_names"
"21","5e-04,0.5,1,1","Nelder-Mead",0,-86101.8221161908,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"22","2.5,1,1,1","Nelder-Mead",0,-86106.1749969269,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"23","2.5,1,1,1","Nelder-Mead",0,-86106.1724566625,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"24","2.5,1,1,1","Nelder-Mead",0,-86101.8221161908,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"25","4,0.94,0.7029,0.0546","Nelder-Mead",0,-86106.1749969269,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"26","4,0.94,0.7029,0.0546","Nelder-Mead",0,-86106.1724566625,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"27","4,0.94,0.7029,0.0546","Nelder-Mead",0,-86101.8221161908,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"28","4,1,1,1","Nelder-Mead",0,-86106.1749969269,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"29","4,1,1,1","Nelder-Mead",0,-86106.1724566625,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"30","4,1,1,1","Nelder-Mead",0,-86101.8221161908,-87255.4750130697,"3.23441850572344,0.940913926145806,0.630075984510212,0.0491003669066388","4.78871898048367,0.96870514856468,0.649611265585884,0.0902007810383755","3.60624301881515,0.983700754029253,0.65995779186859,0.0426020215477828","2.94766464537522,0.974680859235508,0.659398775288137,0.0293666274185595","1.25223870639132,1.01781175720464,0.409060764231352,0.0192811237492574","3.48896242739067,0.866981605033657,0.927250254971091,0.0526001642430826","15.7191663921478,0.95154367580748,1.01293771384391,0.00757706291503628","2.21358253999411,0.982136724758367,0.588086975385807,0.0115000718130915","2.02971114245763,0.530185785951863,1.14705277628623,0.0208920945215312","3.37217153416869,0.959657702690069,0.632620097886213,0.0478241909420764","2.8224065597995,1.01114775223619,0.432090584393932,0.0930221446670322","5.13049730329431,0.95939495846009,0.76186512621289,0.058399283695989","2.53213713649743,0.990408087067489,0.587403955354329,0.0373080963923053","3.54749550950766,0.941587062528813,0.773060634194341,0.0251256217761312","2.43059787652401,0.944302532784256,0.395654809232676,0.0866322762977792","2.15660895241308,0.987444840672464,0.547408500602071,0.0213673079770972","2.70190943907904,0.973293521730789,0.641679006747563,0.0345422630727846","2.35216463203796,0.685210104302171,0.742565039626813,0.0808418742754707",FALSE,TRUE,""
"31","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","BFGS",0,-86106.1749969269,-87256.56287244,"3.23459516875631,0.940901811406752,0.63011673921027,0.0491114447924695","4.78895903008378,0.968704638530241,0.64963927769491,0.0902079396507379","3.6045334943338,0.983695891284842,0.659812960840515,0.042602238480654","2.94811608292215,0.974656039262702,0.659491933094501,0.0293852916052947","1.25385863540127,1.01725146422607,0.410115812803771,0.0193223973633852","3.48778249902498,0.867032704943338,0.926974829811567,0.0526036323889921","33.7752838982902,0.947677839127142,1.16581739836015,0.00760550592534087","2.21387081204808,0.982130119214776,0.588136238824648,0.0115615582027525","1.96977844371154,0.530869410434822,1.12831983269337,0.0208056259779275","3.37245717820061,0.959716743308121,0.632574742286204,0.047829455110601","2.82462482562063,1.01066867059407,0.432743493673024,0.0930082942204429","5.13314567620907,0.959328825249011,0.762117064103581,0.0584072293177914","2.53232179043418,0.990398962810402,0.587422390270015,0.0373058699669351","3.54816090904232,0.941571114460691,0.773151010956602,0.0251607273537888","2.43068506442693,0.944214343361124,0.395738834366219,0.0866403334850263","2.15691757714665,0.987409931115494,0.547507418297042,0.0214048214603157","2.70179332199809,0.973299940735345,0.641647157876744,0.0345677050726262","2.35196409383547,0.685209526256314,0.742522413839981,0.0808341729539306",TRUE,TRUE,""
"32","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","BFGS",0,-86106.1724566625,-87256.56287244,"3.23459516875631,0.940901811406752,0.63011673921027,0.0491114447924695","4.78895903008378,0.968704638530241,0.64963927769491,0.0902079396507379","3.6045334943338,0.983695891284842,0.659812960840515,0.042602238480654","2.94811608292215,0.974656039262702,0.659491933094501,0.0293852916052947","1.25385863540127,1.01725146422607,0.410115812803771,0.0193223973633852","3.48778249902498,0.867032704943338,0.926974829811567,0.0526036323889921","33.7752838982902,0.947677839127142,1.16581739836015,0.00760550592534087","2.21387081204808,0.982130119214776,0.588136238824648,0.0115615582027525","1.96977844371154,0.530869410434822,1.12831983269337,0.0208056259779275","3.37245717820061,0.959716743308121,0.632574742286204,0.047829455110601","2.82462482562063,1.01066867059407,0.432743493673024,0.0930082942204429","5.13314567620907,0.959328825249011,0.762117064103581,0.0584072293177914","2.53232179043418,0.990398962810402,0.587422390270015,0.0373058699669351","3.54816090904232,0.941571114460691,0.773151010956602,0.0251607273537888","2.43068506442693,0.944214343361124,0.395738834366219,0.0866403334850263","2.15691757714665,0.987409931115494,0.547507418297042,0.0214048214603157","2.70179332199809,0.973299940735345,0.641647157876744,0.0345677050726262","2.35196409383547,0.685209526256314,0.742522413839981,0.0808341729539306",TRUE,TRUE,""
"33","4.8990256269843,0.499886615969469,1.73731872659343,0.000653937972683112","BFGS",0,-86101.8221161908,-87256.56287244,"3.23459516875631,0.940901811406752,0.63011673921027,0.0491114447924695","4.78895903008378,0.968704638530241,0.64963927769491,0.0902079396507379","3.6045334943338,0.983695891284842,0.659812960840515,0.042602238480654","2.94811608292215,0.974656039262702,0.659491933094501,0.0293852916052947","1.25385863540127,1.01725146422607,0.410115812803771,0.0193223973633852","3.48778249902498,0.867032704943338,0.926974829811567,0.0526036323889921","33.7752838982902,0.947677839127142,1.16581739836015,0.00760550592534087","2.21387081204808,0.982130119214776,0.588136238824648,0.0115615582027525","1.96977844371154,0.530869410434822,1.12831983269337,0.0208056259779275","3.37245717820061,0.959716743308121,0.632574742286204,0.047829455110601","2.82462482562063,1.01066867059407,0.432743493673024,0.0930082942204429","5.13314567620907,0.959328825249011,0.762117064103581,0.0584072293177914","2.53232179043418,0.990398962810402,0.587422390270015,0.0373058699669351","3.54816090904232,0.941571114460691,0.773151010956602,0.0251607273537888","2.43068506442693,0.944214343361124,0.395738834366219,0.0866403334850263","2.15691757714665,0.987409931115494,0.547507418297042,0.0214048214603157","2.70179332199809,0.973299940735345,0.641647157876744,0.0345677050726262","2.35196409383547,0.685209526256314,0.742522413839981,0.0808341729539306",TRUE,TRUE,""
"34","3,0.7,1,7e-04","BFGS",0,-86106.1749969269,-87256.56287244,"3.23459516875631,0.940901811406752,0.63011673921027,0.0491114447924695","4.78895903008378,0.968704638530241,0.64963927769491,0.0902079396507379","3.6045334943338,0.983695891284842,0.659812960840515,0.042602238480654","2.94811608292215,0.974656039262702,0.659491933094501,0.0293852916052947","1.25385863540127,1.01725146422607,0.410115812803771,0.0193223973633852","3.48778249902498,0.867032704943338,0.926974829811567,0.0526036323889921","33.7752838982902,0.947677839127142,1.16581739836015,0.00760550592534087","2.21387081204808,0.982130119214776,0.588136238824648,0.0115615582027525","1.96977844371154,0.530869410434822,1.12831983269337,0.0208056259779275","3.37245717820061,0.959716743308121,0.632574742286204,0.047829455110601","2.82462482562063,1.01066867059407,0.432743493673024,0.0930082942204429","5.13314567620907,0.959328825249011,0.762117064103581,0.0584072293177914","2.53232179043418,0.990398962810402,0.587422390270015,0.0373058699669351","3.54816090904232,0.941571114460691,0.773151010956602,0.0251607273537888","2.43068506442693,0.944214343361124,0.395738834366219,0.0866403334850263","2.15691757714665,0.987409931115494,0.547507418297042,0.0214048214603157","2.70179332199809,0.973299940735345,0.641647157876744,0.0345677050726262","2.35196409383547,0.685209526256314,0.742522413839981,0.0808341729539306",TRUE,TRUE,""
"35","3,0.7,1,7e-04","BFGS",0,-86106.1724566625,-87256.56287244,"3.23459516875631,0.940901811406752,0.63011673921027,0.0491114447924695","4.78895903008378,0.968704638530241,0.64963927769491,0.0902079396507379","3.6045334943338,0.983695891284842,0.659812960840515,0.042602238480654","2.94811608292215,0.974656039262702,0.659491933094501,0.0293852916052947","1.25385863540127,1.01725146422607,0.410115812803771,0.0193223973633852","3.48778249902498,0.867032704943338,0.926974829811567,0.0526036323889921","33.7752838982902,0.947677839127142,1.16581739836015,0.00760550592534087","2.21387081204808,0.982130119214776,0.588136238824648,0.0115615582027525","1.96977844371154,0.530869410434822,1.12831983269337,0.0208056259779275","3.37245717820061,0.959716743308121,0.632574742286204,0.047829455110601","2.82462482562063,1.01066867059407,0.432743493673024,0.0930082942204429","5.13314567620907,0.959328825249011,0.762117064103581,0.0584072293177914","2.53232179043418,0.990398962810402,0.587422390270015,0.0373058699669351","3.54816090904232,0.941571114460691,0.773151010956602,0.0251607273537888","2.43068506442693,0.944214343361124,0.395738834366219,0.0866403334850263","2.15691757714665,0.987409931115494,0.547507418297042,0.0214048214603157","2.70179332199809,0.973299940735345,0.641647157876744,0.0345677050726262","2.35196409383547,0.685209526256314,0.742522413839981,0.0808341729539306",TRUE,TRUE,""
"36","3,0.7,1,7e-04","BFGS",0,-86101.8221161908,-87256.56287244,"3.23459516875631,0.940901811406752,0.63011673921027,0.0491114447924695","4.78895903008378,0.968704638530241,0.64963927769491,0.0902079396507379","3.6045334943338,0.983695891284842,0.659812960840515,0.042602238480654","2.94811608292215,0.974656039262702,0.659491933094501,0.0293852916052947","1.25385863540127,1.01725146422607,0.410115812803771,0.0193223973633852","3.48778249902498,0.867032704943338,0.926974829811567,0.0526036323889921","33.7752838982902,0.947677839127142,1.16581739836015,0.00760550592534087","2.21387081204808,0.982130119214776,0.588136238824648,0.0115615582027525","1.96977844371154,0.530869410434822,1.12831983269337,0.0208056259779275","3.37245717820061,0.959716743308121,0.632574742286204,0.047829455110601","2.82462482562063,1.01066867059407,0.432743493673024,0.0930082942204429","5.13314567620907,0.959328825249011,0.762117064103581,0.0584072293177914","2.53232179043418,0.990398962810402,0.587422390270015,0.0373058699669351","3.54816090904232,0.941571114460691,0.773151010956602,0.0251607273537888","2.43068506442693,0.944214343361124,0.395738834366219,0.0866403334850263","2.15691757714665,0.987409931115494,0.547507418297042,0.0214048214603157","2.70179332199809,0.973299940735345,0.641647157876744,0.0345677050726262","2.35196409383547,0.685209526256314,0.742522413839981,0.0808341729539306",TRUE,TRUE,""
"37","2.5,0.8,0.9,0.001","BFGS",0,-86106.1749969269,-87256.56287244,"3.23459516875631,0.940901811406752,0.63011673921027,0.0491114447924695","4.78895903008378,0.968704638530241,0.64963927769491,0.0902079396507379","3.6045334943338,0.983695891284842,0.659812960840515,0.042602238480654","2.94811608292215,0.974656039262702,0.659491933094501,0.0293852916052947","1.25385863540127,1.01725146422607,0.410115812803771,0.0193223973633852","3.48778249902498,0.867032704943338,0.926974829811567,0.0526036323889921","33.7752838982902,0.947677839127142,1.16581739836015,0.00760550592534087","2.21387081204808,0.982130119214776,0.588136238824648,0.0115615582027525","1.96977844371154,0.530869410434822,1.12831983269337,0.0208056259779275","3.37245717820061,0.959716743308121,0.632574742286204,0.047829455110601","2.82462482562063,1.01066867059407,0.432743493673024,0.0930082942204429","5.13314567620907,0.959328825249011,0.762117064103581,0.0584072293177914","2.53232179043418,0.990398962810402,0.587422390270015,0.0373058699669351","3.54816090904232,0.941571114460691,0.773151010956602,0.0251607273537888","2.43068506442693,0.944214343361124,0.395738834366219,0.0866403334850263","2.15691757714665,0.987409931115494,0.547507418297042,0.0214048214603157","2.70179332199809,0.973299940735345,0.641647157876744,0.0345677050726262","2.35196409383547,0.685209526256314,0.742522413839981,0.0808341729539306",TRUE,TRUE,""
"38","2.5,0.8,0.9,0.001","BFGS",0,-86106.1724566625,-87256.56287244,"3.23459516875631,0.940901811406752,0.63011673921027,0.0491114447924695","4.78895903008378,0.968704638530241,0.64963927769491,0.0902079396507379","3.6045334943338,0.983695891284842,0.659812960840515,0.042602238480654","2.94811608292215,0.974656039262702,0.659491933094501,0.0293852916052947","1.25385863540127,1.01725146422607,0.410115812803771,0.0193223973633852","3.48778249902498,0.867032704943338,0.926974829811567,0.0526036323889921","33.7752838982902,0.947677839127142,1.16581739836015,0.00760550592534087","2.21387081204808,0.982130119214776,0.588136238824648,0.0115615582027525","1.96977844371154,0.530869410434822,1.12831983269337,0.0208056259779275","3.37245717820061,0.959716743308121,0.632574742286204,0.047829455110601","2.82462482562063,1.01066867059407,0.432743493673024,0.0930082942204429","5.13314567620907,0.959328825249011,0.762117064103581,0.0584072293177914","2.53232179043418,0.990398962810402,0.587422390270015,0.0373058699669351","3.54816090904232,0.941571114460691,0.773151010956602,0.0251607273537888","2.43068506442693,0.944214343361124,0.395738834366219,0.0866403334850263","2.15691757714665,0.987409931115494,0.547507418297042,0.0214048214603157","2.70179332199809,0.973299940735345,0.641647157876744,0.0345677050726262","2.35196409383547,0.685209526256314,0.742522413839981,0.0808341729539306",TRUE,TRUE,""
"39","2.5,0.8,0.9,0.001","BFGS",0,-86101.8221161908,-87256.56287244,"3.23459516875631,0.940901811406752,0.63011673921027,0.0491114447924695","4.78895903008378,0.968704638530241,0.64963927769491,0.0902079396507379","3.6045334943338,0.983695891284842,0.659812960840515,0.042602238480654","2.94811608292215,0.974656039262702,0.659491933094501,0.0293852916052947","1.25385863540127,1.01725146422607,0.410115812803771,0.0193223973633852","3.48778249902498,0.867032704943338,0.926974829811567,0.0526036323889921","33.7752838982902,0.947677839127142,1.16581739836015,0.00760550592534087","2.21387081204808,0.982130119214776,0.588136238824648,0.0115615582027525","1.96977844371154,0.530869410434822,1.12831983269337,0.0208056259779275","3.37245717820061,0.959716743308121,0.632574742286204,0.047829455110601","2.82462482562063,1.01066867059407,0.432743493673024,0.0930082942204429","5.13314567620907,0.959328825249011,0.762117064103581,0.0584072293177914","2.53232179043418,0.990398962810402,0.587422390270015,0.0373058699669351","3.54816090904232,0.941571114460691,0.773151010956602,0.0251607273537888","2.43068506442693,0.944214343361124,0.395738834366219,0.0866403334850263","2.15691757714665,0.987409931115494,0.547507418297042,0.0214048214603157","2.70179332199809,0.973299940735345,0.641647157876744,0.0345677050726262","2.35196409383547,0.685209526256314,0.742522413839981,0.0808341729539306",TRUE,TRUE,""
"40","4,0.5,0.8,9e-04","BFGS",0,-86106.1749969269,-87256.56287244,"3.23459516875631,0.940901811406752,0.63011673921027,0.0491114447924695","4.78895903008378,0.968704638530241,0.64963927769491,0.0902079396507379","3.6045334943338,0.983695891284842,0.659812960840515,0.042602238480654","2.94811608292215,0.974656039262702,0.659491933094501,0.0293852916052947","1.25385863540127,1.01725146422607,0.410115812803771,0.0193223973633852","3.48778249902498,0.867032704943338,0.926974829811567,0.0526036323889921","33.7752838982902,0.947677839127142,1.16581739836015,0.00760550592534087","2.21387081204808,0.982130119214776,0.588136238824648,0.0115615582027525","1.96977844371154,0.530869410434822,1.12831983269337,0.0208056259779275","3.37245717820061,0.959716743308121,0.632574742286204,0.047829455110601","2.82462482562063,1.01066867059407,0.432743493673024,0.0930082942204429","5.13314567620907,0.959328825249011,0.762117064103581,0.0584072293177914","2.53232179043418,0.990398962810402,0.587422390270015,0.0373058699669351","3.54816090904232,0.941571114460691,0.773151010956602,0.0251607273537888","2.43068506442693,0.944214343361124,0.395738834366219,0.0866403334850263","2.15691757714665,0.987409931115494,0.547507418297042,0.0214048214603157","2.70179332199809,0.973299940735345,0.641647157876744,0.0345677050726262","2.35196409383547,0.685209526256314,0.742522413839981,0.0808341729539306",TRUE,TRUE,""
"41","4,0.5,0.8,9e-04","BFGS",0,-86106.1724566625,-87256.56287244,"3.23459516875631,0.940901811406752,0.63011673921027,0.0491114447924695","4.78895903008378,0.968704638530241,0.64963927769491,0.0902079396507379","3.6045334943338,0.983695891284842,0.659812960840515,0.042602238480654","2.94811608292215,0.974656039262702,0.659491933094501,0.0293852916052947","1.25385863540127,1.01725146422607,0.410115812803771,0.0193223973633852","3.48778249902498,0.867032704943338,0.926974829811567,0.0526036323889921","33.7752838982902,0.947677839127142,1.16581739836015,0.00760550592534087","2.21387081204808,0.982130119214776,0.588136238824648,0.0115615582027525","1.96977844371154,0.530869410434822,1.12831983269337,0.0208056259779275","3.37245717820061,0.959716743308121,0.632574742286204,0.047829455110601","2.82462482562063,1.01066867059407,0.432743493673024,0.0930082942204429","5.13314567620907,0.959328825249011,0.762117064103581,0.0584072293177914","2.53232179043418,0.990398962810402,0.587422390270015,0.0373058699669351","3.54816090904232,0.941571114460691,0.773151010956602,0.0251607273537888","2.43068506442693,0.944214343361124,0.395738834366219,0.0866403334850263","2.15691757714665,0.987409931115494,0.547507418297042,0.0214048214603157","2.70179332199809,0.973299940735345,0.641647157876744,0.0345677050726262","2.35196409383547,0.685209526256314,0.742522413839981,0.0808341729539306",TRUE,TRUE,""
