"","ic","method","pval","null_l","tmt_l","unknown_param_or","other_mechanical_param_or","prescribed_fire_param_or","wildfire_param_or","thinning_param_or","herbicide_param_or","clearcut_param_or","unknown_param_fl","other_mechanical_param_fl","prescribed_fire_param_fl","wildfire_param_fl","thinning_param_fl","herbicide_param_fl","clearcut_param_fl","all_converge","valid_subset","failed_converge_names"
"26","4,0.94,0.7029,0.0546","Nelder-Mead",1,-69478.2446614625,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"27","4,0.94,0.7029,0.0546","Nelder-Mead",1,-69473.8616758741,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"28","4,1,1,1","Nelder-Mead",1,-78590.3218936231,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"29","4,1,1,1","Nelder-Mead",1,-69478.2446614625,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"30","4,1,1,1","Nelder-Mead",1,-69473.8616758741,-34500.8789699677,"3.3864150510903,0.95590931368123,0.638284602307519,0.0474486861579975","2.83817024567654,1.00126266336134,0.448053244662693,0.0917396339249277","3.5288920228831,0.95954003115521,0.717819634703904,0.0314687418248266","2.59329976370781,0.987420176680794,0.60825373392426,0.0330314224005262","3.54817009151218,0.941582740335275,0.773121977230755,0.0251288077041094","2.3409593808974,0.920893740416656,0.403689436053548,0.0873040328150389","2.15658536936578,0.987448888789232,0.547397964109919,0.0213664610675788","3.25336537690258,0.938850023076187,0.635438065588716,0.0486330707345245","2.87337466218515,0.954050453568378,0.64266566721913,0.0618324383065788","4.00619129722283,0.96968842788099,0.73959973592844,0.0333130800472041","3.01838408693582,0.963567078046557,0.691351779458203,0.0293283784419052","1.54467361542324,0.960673782580084,0.564630051714838,0.0166706719110453","4.10886804945126,0.79753471525632,1.18891931636121,0.0616940324786889","10.9311099699723,0.953502846732395,0.940744481300684,0.00866679751298026",FALSE,TRUE,",Herbicide"
"31","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","BFGS",1,-78590.3218936231,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"32","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","BFGS",1,-69478.2446614625,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"33","4.89048749200272,0.499876473528096,1.73661804939668,0.000685099291204213","BFGS",1,-69473.8616758741,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"34","3,0.7,1,7e-04","BFGS",1,-78590.3218936231,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"35","3,0.7,1,7e-04","BFGS",1,-69478.2446614625,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"36","3,0.7,1,7e-04","BFGS",1,-69473.8616758741,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"37","2.5,0.8,0.9,0.001","BFGS",1,-78590.3218936231,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"38","2.5,0.8,0.9,0.001","BFGS",1,-69478.2446614625,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"39","2.5,0.8,0.9,0.001","BFGS",1,-69473.8616758741,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"40","4,0.5,0.8,9e-04","BFGS",1,-78590.3218936231,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"41","4,0.5,0.8,9e-04","BFGS",1,-69478.2446614625,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"42","4,0.5,0.8,9e-04","BFGS",1,-69473.8616758741,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"43","2.06298813383416,0.996834375176346,0.620826880046437,0.0015131111126072","BFGS",1,-78590.3218936231,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"44","2.06298813383416,0.996834375176346,0.620826880046437,0.0015131111126072","BFGS",1,-69478.2446614625,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"45","2.06298813383416,0.996834375176346,0.620826880046437,0.0015131111126072","BFGS",1,-69473.8616758741,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"46","1.416,0.984,0.444,0.101","BFGS",1,-78590.3218936231,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"47","1.416,0.984,0.444,0.101","BFGS",1,-69478.2446614625,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"48","1.416,0.984,0.444,0.101","BFGS",1,-69473.8616758741,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"49","5e-04,0.5,1,1","BFGS",1,-78590.3218936231,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"50","5e-04,0.5,1,1","BFGS",1,-69478.2446614625,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
"51","5e-04,0.5,1,1","BFGS",1,-69473.8616758741,-34502.9095000939,"3.38698699221763,0.955873375871377,0.638402261859372,0.0474516377232861","2.83831111209218,1.00123498831282,0.448094023757646,0.0917453340566503","3.5289776451439,0.959539179231691,0.717830447598309,0.0314947731109026","2.59312975509325,0.98742977242865,0.608227282329314,0.0330529394639362","3.55003143025578,0.941551592503539,0.773316979672663,0.0251558143937299","23.6353203832195,-490.226528658042,-205.325782158816,-195.472259994197","2.15681789253367,0.987393953680757,0.547467739362217,0.0213702518540092","3.25365205696375,0.938819767874058,0.635484135045597,0.0486405068394619","2.87369228092346,0.954043593437331,0.642701412899367,0.0618478742627329","4.00736226147805,0.969692191495177,0.73970150909733,0.0333245697210579","3.01848810566407,0.96356265045272,0.691362375360675,0.0293539927507091","1.60460682361519,0.975012294345611,0.552199026815441,0.0130810973353109","4.10933717260351,0.797521576430278,1.1890281233647,0.0617063987679508","6.66479402572588,0.956568843913575,0.839261951322914,0.00898155002602346",TRUE,TRUE,""
