"clno","sizw","ids","dist_name","ratio"
"126",126,23,"1101 1102 1103","Unknown",0.695652173913043
"127",127,1,"1101","Unknown",0
"128",128,23,"1103 1102 1101","Unknown",0.760869565217391
"129",129,1,"1102","Unknown",0
"130",130,116,"1102 1103 1101","Unknown",0.84051724137931
"131",131,41,"1103 1102 1101","Unknown",0.719512195121951
"132",132,1,"1101","Unknown",0
"133",133,2,"1101","Unknown",0.25
"134",134,1,"1101","Unknown",0
"135",135,16,"1103 1102","Unknown",0.625
"136",136,2,"1103","Unknown",0.25
"137",137,1,"1103","Unknown",0
"138",138,12,"1101 1102 1103","Unknown",0.583333333333333
"139",139,1,"1101","Unknown",0
"140",140,1,"1101","Unknown",0
"141",141,1,"1101","Unknown",0
"142",142,3,"1103 1102","Unknown",0.333333333333333
"143",143,55,"1101 1103 1102","Unknown",0.781818181818182
"144",144,3,"1103 1101","Unknown",0.333333333333333
"145",145,2,"1101","Unknown",0.25
"146",146,16,"1102 1103","Unknown",0.625
"147",147,2,"1103","Unknown",0.25
"148",148,1,"701","Unknown",0
"149",149,1,"1103","Unknown",0
"150",150,34,"1102 1103","Unknown",0.735294117647059
"151",151,3,"1101","Unknown",0.333333333333333
"152",152,17,"1102 1103 1101","Unknown",0.647058823529412
"153",153,1,"1101","Unknown",0
"154",154,2,"1101 1103","Unknown",0.25
"155",155,102,"1102 1103 1101","Unknown",0.857843137254902
"156",156,1,"1101","Unknown",0
"157",157,2,"1102 1101","Unknown",0.25
"158",158,1,"1101","Unknown",0
"159",159,127,"1103 1102 1101","Unknown",0.834645669291339
"160",160,4,"1101","Unknown",0.375
"161",161,155,"1101 1103 1102","Unknown",0.867741935483871
"162",162,2,"1103 1102","Unknown",0.25
"163",163,2,"1101","Unknown",0.25
"164",164,33,"1103 1101 1102","Unknown",0.666666666666667
"165",165,124,"1101 1102 1103","Unknown",0.846774193548387
"166",166,367,"1101 1102 1103","Unknown",0.899182561307902
"167",167,58,"1102 1103 1101","Unknown",0.741379310344828
"168",168,3,"1103 1101","Unknown",0.333333333333333
"169",169,2,"1102","Unknown",0.25
"170",170,1,"1101","Unknown",0
"171",171,8,"1103 1101","Unknown",0.5
"172",172,103,"1102 1103 1101","Unknown",0.868932038834951
"173",173,135,"1102 1101 1103","Unknown",0.885185185185185
"174",174,5,"1102 1101","Unknown",0.4
"175",175,148,"1101 1102 1103","Unknown",0.885135135135135
"176",176,3,"1102 1101","Unknown",0.333333333333333
"177",177,81,"1101 1103 1102","Unknown",0.753086419753086
"178",178,82,"702 703 701","Unknown",0.841463414634146
"179",179,171,"1101 1103 1102","Unknown",0.830409356725146
"180",180,1,"1103","Unknown",0
"181",181,112,"1103 1101 1102","Unknown",0.772321428571429
"182",182,1,"1101","Unknown",0
"183",183,1,"1103","Unknown",0
"184",184,271,"1102 1103 1101","Unknown",0.874538745387454
"185",185,302,"702 701 703","Unknown",0.903973509933775
"186",186,195,"1101 1103 1102","Unknown",0.846153846153846
"187",187,19,"1103 1102","Unknown",0.710526315789474
"188",188,14,"1101 1103","Unknown",0.5
"189",189,1,"1101","Unknown",0
"190",190,12,"1101 1103 1102","Unknown",0.583333333333333
"191",191,171,"1102 1103 1101","Unknown",0.89766081871345
"192",192,57,"1101 1103 1102","Unknown",0.780701754385965
"193",193,62,"1102 1103 1101","Unknown",0.782258064516129
"194",194,33,"1101 1103 1102","Unknown",0.696969696969697
"195",195,1,"1103","Unknown",0
"196",196,66,"1101 1103 1102 703 701","Unknown",0.840909090909091
"197",197,261,"1103 1102 1101","Unknown",0.85823754789272
"198",198,1,"1103","Unknown",0
"199",199,81,"702 701 703","Unknown",0.814814814814815
"200",200,96,"1101 1103 1102","Unknown",0.796875
"201",201,86,"1102 1103 701 702 703 1101","Unknown",0.837209302325581
"202",202,1,"1103","Unknown",0
"203",203,80,"1101 1102 1103","Unknown",0.79375
"204",204,82,"1102 1101 1103","Unknown",0.835365853658537
"205",205,144,"1103 1102 1101","Unknown",0.847222222222222
"206",206,1,"1101","Unknown",0
"207",207,1,"1101","Unknown",0
"208",208,1,"1101","Unknown",0
"209",209,92,"1101 1102 1103","Unknown",0.782608695652174
"210",210,90,"1103 1102 1101","Unknown",0.75
"211",211,1,"1102","Unknown",0
"212",212,1,"1102","Unknown",0
"213",213,1,"1101","Unknown",0
"214",214,129,"1101 1102 1103","Unknown",0.84108527131783
"215",215,1,"1102","Unknown",0
"216",216,1,"1102","Unknown",0
"217",217,107,"1101 1103 1102","Unknown",0.808411214953271
"218",218,2,"1102","Unknown",0.25
"219",219,3,"1102 1103","Unknown",0.333333333333333
"220",220,386,"1101 1102 1103","Unknown",0.913212435233161
"221",221,231,"1101 1102 1103","Unknown",0.885281385281385
"222",222,1,"1102","Unknown",0
"223",223,150,"1101 1103 1102","Unknown",0.836666666666667
"224",224,1,"1101","Unknown",0
"225",225,372,"1102 1103 1101","Unknown",0.903225806451613
"226",226,1,"1101","Unknown",0
"227",227,94,"1101 1103 1102","Unknown",0.872340425531915
"228",228,13,"1103","Unknown",0.576923076923077
"229",229,37,"1101 1103 1102","Unknown",0.72972972972973
"230",230,274,"1101 1103 1102","Unknown",0.788321167883212
"231",231,891,"1101 1103 1102 703 701 702","Unknown",0.855780022446689
"232",232,1,"1102","Unknown",0
"233",233,58,"1101 1102 1103","Unknown",0.810344827586207
"234",234,3,"1103 1101","Unknown",0.333333333333333
"235",235,2,"1101","Unknown",0.25
"236",236,5,"1103 1102","Unknown",0.4
"237",237,2,"1101 1102","Unknown",0.25
"238",238,144,"1102 1103 1101","Unknown",0.868055555555556
"239",239,68,"1101 1103 1102","Unknown",0.786764705882353
"240",240,34,"1102 1101 1103","Unknown",0.764705882352941
"241",241,128,"1101 1102 1103","Unknown",0.8515625
"242",242,364,"1101 1102 1103","Unknown",0.90521978021978
"243",243,72,"1103 1102 1101 702 703","Unknown",0.819444444444444
"244",244,314,"1103 1101 1102","Unknown",0.872611464968153
"245",245,192,"1103 1101 1102","Unknown",0.888020833333333
"246",246,1,"1103","Unknown",0
"247",247,2,"1103","Unknown",0.25
"248",248,2,"702 701","Unknown",0.25
"249",249,1,"1103","Unknown",0
"250",250,1,"1101","Unknown",0
"251",251,1,"1101","Unknown",0
"252",252,1,"1102","Unknown",0
"253",253,1,"1102","Unknown",0
"254",254,1,"1102","Unknown",0
"255",255,1,"1103","Unknown",0
"256",256,306,"1102 1103 1101","Unknown",0.836601307189543
"257",257,107,"1103 1102 1101","Unknown",0.771028037383178
"258",258,2,"1101","Unknown",0.25
"259",259,84,"1102 1101 1103","Unknown",0.845238095238095
"260",260,1,"1102","Unknown",0
"261",261,1,"1101","Unknown",0
"262",262,1,"1101","Unknown",0
"263",263,1,"1101","Unknown",0
"264",264,3,"1102","Unknown",0.333333333333333
"265",265,41,"1102 1101 1103","Unknown",0.768292682926829
"266",266,1,"1103","Unknown",0
"267",267,208,"1102 1101 1103","Unknown",0.894230769230769
"268",268,3,"1103 1101","Unknown",0.333333333333333
"269",269,139,"1103 1102 1101","Unknown",0.823741007194245
"270",270,2,"1103 1101","Unknown",0.25
"271",271,121,"1103 1101 1102","Unknown",0.855371900826446
"272",272,59,"1101 1102 1103","Unknown",0.838983050847458
"273",273,1,"1101","Unknown",0
"274",274,153,"1102 1103 1101","Unknown",0.836601307189543
"275",275,20,"1103 1101","Unknown",0.675
"276",276,1,"1101","Unknown",0
"277",277,1,"1101","Unknown",0
"278",278,43,"1103 1102","Unknown",0.686046511627907
"279",279,96,"1102 1103 1101 701 702 703","Unknown",0.770833333333333
"280",280,7,"1103 1101","Unknown",0.571428571428571
"281",281,137,"1103 1102","Unknown",0.883211678832117
"282",282,109,"1103 1101 1102","Unknown",0.81651376146789
"283",283,184,"1101 1102 1103","Unknown",0.864130434782609
"284",284,4,"1102 1103","Unknown",0.375
"285",285,2,"1102 1101","Unknown",0.25
"286",286,8,"1103 1101 1102","Unknown",0.5625
"287",287,19,"1103 1102","Unknown",0.736842105263158
"288",288,4,"1101","Unknown",0.5
"289",289,1,"1103","Unknown",0
"290",290,3,"702 1102 701","Unknown",0.333333333333333
"291",291,29,"1101 1102","Unknown",0.672413793103448
"292",292,219,"1103 1102 1101","Unknown",0.837899543378995
"293",293,6,"1102 1103 1101","Unknown",0.5
"294",294,1,"1101","Unknown",0
"295",295,30,"1103 1102","Unknown",0.683333333333333
"296",296,80,"1103 1101 1102","Unknown",0.8375
"297",297,3,"1103 1101","Unknown",0.333333333333333
"298",298,5,"1101","Unknown",0.5
"299",299,1,"1101","Unknown",0
"300",300,3,"1101 1102","Unknown",0.333333333333333
"301",301,238,"1102 1103 1101","Unknown",0.821428571428571
"302",302,55,"1101 1103 1102","Unknown",0.654545454545455
"303",303,101,"1103 1101 1102","Unknown",0.816831683168317
"304",304,2,"1103","Unknown",0.25
"305",305,1,"1103","Unknown",0
"306",306,55,"1101 1102 1103","Unknown",0.818181818181818
"307",307,23,"1101 1103 1102","Unknown",0.630434782608696
"308",308,570,"1103 1102 1101","Unknown",0.903508771929825
"309",309,23,"1102 1103 1101","Unknown",0.673913043478261
"310",310,483,"1101 1103 1102","Unknown",0.932712215320911
"311",311,1,"1103","Unknown",0
"312",312,20,"1103 1102 1101","Unknown",0.525
"313",313,117,"1102 1101 1103","Unknown",0.884615384615385
"314",314,76,"1102 1103 1101","Unknown",0.848684210526316
"315",315,139,"1103 1101 1102","Unknown",0.841726618705036
"316",316,37,"1101 1103 1102","Unknown",0.77027027027027
"317",317,64,"1102 1101 1103","Unknown",0.796875
"318",318,5,"1103","Unknown",0.4
"319",319,1,"1101","Unknown",0
"320",320,1,"1101","Unknown",0
"321",321,1,"1101","Unknown",0
"322",322,75,"1102 1103 1101","Unknown",0.806666666666667
"323",323,2,"1101","Unknown",0.25
